,parents,has_nurs,form,children,housing,finance,social,health
0,usual,proper,1,1,convenient,convenient,nonprob,1
1,usual,proper,1,1,convenient,convenient,nonprob,2
2,usual,proper,1,1,convenient,convenient,nonprob,3
3,usual,proper,1,1,convenient,convenient,slightly_prob,1
4,usual,proper,1,1,convenient,convenient,slightly_prob,2
5,usual,proper,1,1,convenient,convenient,slightly_prob,3
6,usual,proper,1,1,convenient,convenient,problematic,1
7,usual,proper,1,1,convenient,convenient,problematic,2
8,usual,proper,1,1,convenient,convenient,problematic,3
9,usual,proper,1,1,convenient,inconv,nonprob,1
10,usual,proper,1,1,convenient,inconv,nonprob,2
11,usual,proper,1,1,convenient,inconv,nonprob,3
12,usual,proper,1,1,convenient,inconv,slightly_prob,1
13,usual,proper,1,1,convenient,inconv,slightly_prob,2
14,usual,proper,1,1,convenient,inconv,slightly_prob,3
15,usual,proper,1,1,convenient,inconv,problematic,1
16,usual,proper,1,1,convenient,inconv,problematic,2
17,usual,proper,1,1,convenient,inconv,problematic,3
18,usual,proper,1,1,less_conv,convenient,nonprob,1
19,usual,proper,1,1,less_conv,convenient,nonprob,2
20,usual,proper,1,1,less_conv,convenient,nonprob,3
21,usual,proper,1,1,less_conv,convenient,slightly_prob,1
22,usual,proper,1,1,less_conv,convenient,slightly_prob,2
23,usual,proper,1,1,less_conv,convenient,slightly_prob,3
24,usual,proper,1,1,less_conv,convenient,problematic,1
25,usual,proper,1,1,less_conv,convenient,problematic,2
26,usual,proper,1,1,less_conv,convenient,problematic,3
27,usual,proper,1,1,less_conv,inconv,nonprob,1
28,usual,proper,1,1,less_conv,inconv,nonprob,2
29,usual,proper,1,1,less_conv,inconv,nonprob,3
30,usual,proper,1,1,less_conv,inconv,slightly_prob,1
31,usual,proper,1,1,less_conv,inconv,slightly_prob,2
32,usual,proper,1,1,less_conv,inconv,slightly_prob,3
33,usual,proper,1,1,less_conv,inconv,problematic,1
34,usual,proper,1,1,less_conv,inconv,problematic,2
35,usual,proper,1,1,less_conv,inconv,problematic,3
36,usual,proper,1,1,critical,convenient,nonprob,1
37,usual,proper,1,1,critical,convenient,nonprob,2
38,usual,proper,1,1,critical,convenient,nonprob,3
39,usual,proper,1,1,critical,convenient,slightly_prob,1
40,usual,proper,1,1,critical,convenient,slightly_prob,2
41,usual,proper,1,1,critical,convenient,slightly_prob,3
42,usual,proper,1,1,critical,convenient,problematic,1
43,usual,proper,1,1,critical,convenient,problematic,2
44,usual,proper,1,1,critical,convenient,problematic,3
45,usual,proper,1,1,critical,inconv,nonprob,1
46,usual,proper,1,1,critical,inconv,nonprob,2
47,usual,proper,1,1,critical,inconv,nonprob,3
48,usual,proper,1,1,critical,inconv,slightly_prob,1
49,usual,proper,1,1,critical,inconv,slightly_prob,2
50,usual,proper,1,1,critical,inconv,slightly_prob,3
51,usual,proper,1,1,critical,inconv,problematic,1
52,usual,proper,1,1,critical,inconv,problematic,2
53,usual,proper,1,1,critical,inconv,problematic,3
54,usual,proper,1,2,convenient,convenient,nonprob,1
55,usual,proper,1,2,convenient,convenient,nonprob,2
56,usual,proper,1,2,convenient,convenient,nonprob,3
57,usual,proper,1,2,convenient,convenient,slightly_prob,1
58,usual,proper,1,2,convenient,convenient,slightly_prob,2
59,usual,proper,1,2,convenient,convenient,slightly_prob,3
60,usual,proper,1,2,convenient,convenient,problematic,1
61,usual,proper,1,2,convenient,convenient,problematic,2
62,usual,proper,1,2,convenient,convenient,problematic,3
63,usual,proper,1,2,convenient,inconv,nonprob,1
64,usual,proper,1,2,convenient,inconv,nonprob,2
65,usual,proper,1,2,convenient,inconv,nonprob,3
66,usual,proper,1,2,convenient,inconv,slightly_prob,1
67,usual,proper,1,2,convenient,inconv,slightly_prob,2
68,usual,proper,1,2,convenient,inconv,slightly_prob,3
69,usual,proper,1,2,convenient,inconv,problematic,1
70,usual,proper,1,2,convenient,inconv,problematic,2
71,usual,proper,1,2,convenient,inconv,problematic,3
72,usual,proper,1,2,less_conv,convenient,nonprob,1
73,usual,proper,1,2,less_conv,convenient,nonprob,2
74,usual,proper,1,2,less_conv,convenient,nonprob,3
75,usual,proper,1,2,less_conv,convenient,slightly_prob,1
76,usual,proper,1,2,less_conv,convenient,slightly_prob,2
77,usual,proper,1,2,less_conv,convenient,slightly_prob,3
78,usual,proper,1,2,less_conv,convenient,problematic,1
79,usual,proper,1,2,less_conv,convenient,problematic,2
80,usual,proper,1,2,less_conv,convenient,problematic,3
81,usual,proper,1,2,less_conv,inconv,nonprob,1
82,usual,proper,1,2,less_conv,inconv,nonprob,2
83,usual,proper,1,2,less_conv,inconv,nonprob,3
84,usual,proper,1,2,less_conv,inconv,slightly_prob,1
85,usual,proper,1,2,less_conv,inconv,slightly_prob,2
86,usual,proper,1,2,less_conv,inconv,slightly_prob,3
87,usual,proper,1,2,less_conv,inconv,problematic,1
88,usual,proper,1,2,less_conv,inconv,problematic,2
89,usual,proper,1,2,less_conv,inconv,problematic,3
90,usual,proper,1,2,critical,convenient,nonprob,1
91,usual,proper,1,2,critical,convenient,nonprob,2
92,usual,proper,1,2,critical,convenient,nonprob,3
93,usual,proper,1,2,critical,convenient,slightly_prob,1
94,usual,proper,1,2,critical,convenient,slightly_prob,2
95,usual,proper,1,2,critical,convenient,slightly_prob,3
96,usual,proper,1,2,critical,convenient,problematic,1
97,usual,proper,1,2,critical,convenient,problematic,2
98,usual,proper,1,2,critical,convenient,problematic,3
99,usual,proper,1,2,critical,inconv,nonprob,1
100,usual,proper,1,2,critical,inconv,nonprob,2
101,usual,proper,1,2,critical,inconv,nonprob,3
102,usual,proper,1,2,critical,inconv,slightly_prob,1
103,usual,proper,1,2,critical,inconv,slightly_prob,2
104,usual,proper,1,2,critical,inconv,slightly_prob,3
105,usual,proper,1,2,critical,inconv,problematic,1
106,usual,proper,1,2,critical,inconv,problematic,2
107,usual,proper,1,2,critical,inconv,problematic,3
108,usual,proper,1,3,convenient,convenient,nonprob,1
109,usual,proper,1,3,convenient,convenient,nonprob,2
110,usual,proper,1,3,convenient,convenient,nonprob,3
111,usual,proper,1,3,convenient,convenient,slightly_prob,1
112,usual,proper,1,3,convenient,convenient,slightly_prob,2
113,usual,proper,1,3,convenient,convenient,slightly_prob,3
114,usual,proper,1,3,convenient,convenient,problematic,1
115,usual,proper,1,3,convenient,convenient,problematic,2
116,usual,proper,1,3,convenient,convenient,problematic,3
117,usual,proper,1,3,convenient,inconv,nonprob,1
118,usual,proper,1,3,convenient,inconv,nonprob,2
119,usual,proper,1,3,convenient,inconv,nonprob,3
120,usual,proper,1,3,convenient,inconv,slightly_prob,1
121,usual,proper,1,3,convenient,inconv,slightly_prob,2
122,usual,proper,1,3,convenient,inconv,slightly_prob,3
123,usual,proper,1,3,convenient,inconv,problematic,1
124,usual,proper,1,3,convenient,inconv,problematic,2
125,usual,proper,1,3,convenient,inconv,problematic,3
126,usual,proper,1,3,less_conv,convenient,nonprob,1
127,usual,proper,1,3,less_conv,convenient,nonprob,2
128,usual,proper,1,3,less_conv,convenient,nonprob,3
129,usual,proper,1,3,less_conv,convenient,slightly_prob,1
130,usual,proper,1,3,less_conv,convenient,slightly_prob,2
131,usual,proper,1,3,less_conv,convenient,slightly_prob,3
132,usual,proper,1,3,less_conv,convenient,problematic,1
133,usual,proper,1,3,less_conv,convenient,problematic,2
134,usual,proper,1,3,less_conv,convenient,problematic,3
135,usual,proper,1,3,less_conv,inconv,nonprob,1
136,usual,proper,1,3,less_conv,inconv,nonprob,2
137,usual,proper,1,3,less_conv,inconv,nonprob,3
138,usual,proper,1,3,less_conv,inconv,slightly_prob,1
139,usual,proper,1,3,less_conv,inconv,slightly_prob,2
140,usual,proper,1,3,less_conv,inconv,slightly_prob,3
141,usual,proper,1,3,less_conv,inconv,problematic,1
142,usual,proper,1,3,less_conv,inconv,problematic,2
143,usual,proper,1,3,less_conv,inconv,problematic,3
144,usual,proper,1,3,critical,convenient,nonprob,1
145,usual,proper,1,3,critical,convenient,nonprob,2
146,usual,proper,1,3,critical,convenient,nonprob,3
147,usual,proper,1,3,critical,convenient,slightly_prob,1
148,usual,proper,1,3,critical,convenient,slightly_prob,2
149,usual,proper,1,3,critical,convenient,slightly_prob,3
150,usual,proper,1,3,critical,convenient,problematic,1
151,usual,proper,1,3,critical,convenient,problematic,2
152,usual,proper,1,3,critical,convenient,problematic,3
153,usual,proper,1,3,critical,inconv,nonprob,1
154,usual,proper,1,3,critical,inconv,nonprob,2
155,usual,proper,1,3,critical,inconv,nonprob,3
156,usual,proper,1,3,critical,inconv,slightly_prob,1
157,usual,proper,1,3,critical,inconv,slightly_prob,2
158,usual,proper,1,3,critical,inconv,slightly_prob,3
159,usual,proper,1,3,critical,inconv,problematic,1
160,usual,proper,1,3,critical,inconv,problematic,2
161,usual,proper,1,3,critical,inconv,problematic,3
162,usual,proper,1,4,convenient,convenient,nonprob,1
163,usual,proper,1,4,convenient,convenient,nonprob,2
164,usual,proper,1,4,convenient,convenient,nonprob,3
165,usual,proper,1,4,convenient,convenient,slightly_prob,1
166,usual,proper,1,4,convenient,convenient,slightly_prob,2
167,usual,proper,1,4,convenient,convenient,slightly_prob,3
168,usual,proper,1,4,convenient,convenient,problematic,1
169,usual,proper,1,4,convenient,convenient,problematic,2
170,usual,proper,1,4,convenient,convenient,problematic,3
171,usual,proper,1,4,convenient,inconv,nonprob,1
172,usual,proper,1,4,convenient,inconv,nonprob,2
173,usual,proper,1,4,convenient,inconv,nonprob,3
174,usual,proper,1,4,convenient,inconv,slightly_prob,1
175,usual,proper,1,4,convenient,inconv,slightly_prob,2
176,usual,proper,1,4,convenient,inconv,slightly_prob,3
177,usual,proper,1,4,convenient,inconv,problematic,1
178,usual,proper,1,4,convenient,inconv,problematic,2
179,usual,proper,1,4,convenient,inconv,problematic,3
180,usual,proper,1,4,less_conv,convenient,nonprob,1
181,usual,proper,1,4,less_conv,convenient,nonprob,2
182,usual,proper,1,4,less_conv,convenient,nonprob,3
183,usual,proper,1,4,less_conv,convenient,slightly_prob,1
184,usual,proper,1,4,less_conv,convenient,slightly_prob,2
185,usual,proper,1,4,less_conv,convenient,slightly_prob,3
186,usual,proper,1,4,less_conv,convenient,problematic,1
187,usual,proper,1,4,less_conv,convenient,problematic,2
188,usual,proper,1,4,less_conv,convenient,problematic,3
189,usual,proper,1,4,less_conv,inconv,nonprob,1
190,usual,proper,1,4,less_conv,inconv,nonprob,2
191,usual,proper,1,4,less_conv,inconv,nonprob,3
192,usual,proper,1,4,less_conv,inconv,slightly_prob,1
193,usual,proper,1,4,less_conv,inconv,slightly_prob,2
194,usual,proper,1,4,less_conv,inconv,slightly_prob,3
195,usual,proper,1,4,less_conv,inconv,problematic,1
196,usual,proper,1,4,less_conv,inconv,problematic,2
197,usual,proper,1,4,less_conv,inconv,problematic,3
198,usual,proper,1,4,critical,convenient,nonprob,1
199,usual,proper,1,4,critical,convenient,nonprob,2
200,usual,proper,1,4,critical,convenient,nonprob,3
201,usual,proper,1,4,critical,convenient,slightly_prob,1
202,usual,proper,1,4,critical,convenient,slightly_prob,2
203,usual,proper,1,4,critical,convenient,slightly_prob,3
204,usual,proper,1,4,critical,convenient,problematic,1
205,usual,proper,1,4,critical,convenient,problematic,2
206,usual,proper,1,4,critical,convenient,problematic,3
207,usual,proper,1,4,critical,inconv,nonprob,1
208,usual,proper,1,4,critical,inconv,nonprob,2
209,usual,proper,1,4,critical,inconv,nonprob,3
210,usual,proper,1,4,critical,inconv,slightly_prob,1
211,usual,proper,1,4,critical,inconv,slightly_prob,2
212,usual,proper,1,4,critical,inconv,slightly_prob,3
213,usual,proper,1,4,critical,inconv,problematic,1
214,usual,proper,1,4,critical,inconv,problematic,2
215,usual,proper,1,4,critical,inconv,problematic,3
216,usual,proper,2,1,convenient,convenient,nonprob,1
217,usual,proper,2,1,convenient,convenient,nonprob,2
218,usual,proper,2,1,convenient,convenient,nonprob,3
219,usual,proper,2,1,convenient,convenient,slightly_prob,1
220,usual,proper,2,1,convenient,convenient,slightly_prob,2
221,usual,proper,2,1,convenient,convenient,slightly_prob,3
222,usual,proper,2,1,convenient,convenient,problematic,1
223,usual,proper,2,1,convenient,convenient,problematic,2
224,usual,proper,2,1,convenient,convenient,problematic,3
225,usual,proper,2,1,convenient,inconv,nonprob,1
226,usual,proper,2,1,convenient,inconv,nonprob,2
227,usual,proper,2,1,convenient,inconv,nonprob,3
228,usual,proper,2,1,convenient,inconv,slightly_prob,1
229,usual,proper,2,1,convenient,inconv,slightly_prob,2
230,usual,proper,2,1,convenient,inconv,slightly_prob,3
231,usual,proper,2,1,convenient,inconv,problematic,1
232,usual,proper,2,1,convenient,inconv,problematic,2
233,usual,proper,2,1,convenient,inconv,problematic,3
234,usual,proper,2,1,less_conv,convenient,nonprob,1
235,usual,proper,2,1,less_conv,convenient,nonprob,2
236,usual,proper,2,1,less_conv,convenient,nonprob,3
237,usual,proper,2,1,less_conv,convenient,slightly_prob,1
238,usual,proper,2,1,less_conv,convenient,slightly_prob,2
239,usual,proper,2,1,less_conv,convenient,slightly_prob,3
240,usual,proper,2,1,less_conv,convenient,problematic,1
241,usual,proper,2,1,less_conv,convenient,problematic,2
242,usual,proper,2,1,less_conv,convenient,problematic,3
243,usual,proper,2,1,less_conv,inconv,nonprob,1
244,usual,proper,2,1,less_conv,inconv,nonprob,2
245,usual,proper,2,1,less_conv,inconv,nonprob,3
246,usual,proper,2,1,less_conv,inconv,slightly_prob,1
247,usual,proper,2,1,less_conv,inconv,slightly_prob,2
248,usual,proper,2,1,less_conv,inconv,slightly_prob,3
249,usual,proper,2,1,less_conv,inconv,problematic,1
250,usual,proper,2,1,less_conv,inconv,problematic,2
251,usual,proper,2,1,less_conv,inconv,problematic,3
252,usual,proper,2,1,critical,convenient,nonprob,1
253,usual,proper,2,1,critical,convenient,nonprob,2
254,usual,proper,2,1,critical,convenient,nonprob,3
255,usual,proper,2,1,critical,convenient,slightly_prob,1
256,usual,proper,2,1,critical,convenient,slightly_prob,2
257,usual,proper,2,1,critical,convenient,slightly_prob,3
